Loai,So,DungBoi_Linux,JX1_DangDungChoGi,MucDo,CachXuLy,PhamVi
ITEM,"6,1,1075","[satthu] 6,1,1075 = ""Hộp lệ vật [quả Huy Hoàng]"" | script\missions\boss\bigboss.lua:38; script\missions\boss\bigboss.lua:44","JX1 cung so = ""Hộp lễ vật Hồng bao thần bí"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1076",TRUNG NANG,"Anh xa 6,1,1075 -> 6,1,1076 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,1094","[phonglangdo] 6,1,1094 = ""Thí Giả Chi ấn"" | script\missions\fengling_ferry\bossdeath.lua:22(DropItem)","JX1 cung so = ""Thiệp Hoàng Kim Đại Lực Thần"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1095",TRUNG NANG,"Anh xa 6,1,1094 -> 6,1,1095 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,1392","[vuotai] 6,1,1392 = ""Hộp lễ vật vượt ải"" | script\missions\challengeoftime\award.lua:226(DropItem)","JX1 cung so = ""Bao nguyên liệu An Bang hoàn hảo"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1401",TRUNG NANG,"Anh xa 6,1,1392 -> 6,1,1401 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,1672","[satthu] 6,1,1672 = ""Bắc Đẩu truyền công thuật"" | script\missions\boss\bigboss.lua:49","JX1 cung so = ""Bánh chưng hảo hạng"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1681",TRUNG NANG,"Anh xa 6,1,1672 -> 6,1,1681 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,1765","[satthu] 6,1,1765 = ""Tiên Thảo Lộ đặc biệt"" | script\missions\boss\bigboss.lua:56","JX1 cung so = ""Phong"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1182;6,1,1774",TRUNG NANG,"Anh xa 6,1,1765 -> 6,1,1182;6,1,1774 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,1781","[satthu] 6,1,1781 = ""Cẩm nang thay đổi trời đất"" | script\task\tollgate\killer\mibao_head.lua:21","JX1 cung so = ""Kim Trụ"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,1790;6,1,3656",TRUNG NANG,"Anh xa 6,1,1781 -> 6,1,1790;6,1,3656 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2006","[satthu] 6,1,2006 = ""Khiêu chiến Lễ bao"" | script\task\tollgate\killer\mibao_head.lua:18","JX1 cung so = ""<<未翻译>>"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2015",TRUNG NANG,"Anh xa 6,1,2006 -> 6,1,2015 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2015","[phonglangdo] 6,1,2015 = ""Truy công lệnh"" | script\missions\fengling_ferry\bossdeath.lua:31(DropItem); script\missions\fengling_ferry\shuizeideath.lua:13(DropItem)","JX1 cung so = ""Khiêu chiến Lễ bao"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2024",TRUNG NANG,"Anh xa 6,1,2015 -> 6,1,2024 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2115","[phonglangdo+satthu] 6,1,2115 = ""Hải long châu"" | script\missions\fengling_ferry\bossdeath.lua:42(DropItem); script\missions\boss\bigboss.lua:51","JX1 cung so = ""Bách Hoa Lộ"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2124",TRUNG NANG,"Anh xa 6,1,2115 -> 6,1,2124 truoc khi port (neu khong se phat NHAM do)",
ITEM,"6,1,2116","[vuotai] 6,1,2116 = ""Thiên Niên Linh Dược"" | script\missions\challengeoftime\rank_perday.lua:13","JX1 cung so = ""Bột mì trộn mật ong"" (settings\item\magicscript.txt) - VAT PHAM KHAC HAN; vat pham dung ten nam o 6,1,2125",TRUNG NANG,"Anh xa 6,1,2116 -> 6,1,2125 truoc khi port (neu khong se phat NHAM do)",
