Faction	TaskLevel	TaskStep	TaskName	TaskRequirements	TaskPosition	TaskAward
 Hoa Sơn	10	0	Nhận Thủy Phẩm Trà Hương (1/3)	Đối thoại với Phương Tư Viễn của phái Hoa Sơn để nhận nhiệm vụ môn phái Hoa Sơn cấp 10	Phương Tư Viễn (987/182/185)	Kỹ năng cấp 10 phái Hoa Sơn
 Hoa Sơn	10	10	Nhận Thủy Phẩm Trà Hương (2/3)	Đến phái Hoa Sơn chỗ con sông ngoài cổng Nam dùng Thủy Biều để đựng Thanh Liệt Tuyền Thủy	Phương Tư Viễn (987/182/185), con sông (987/154/203)	Kỹ năng cấp 10 phái Hoa Sơn
 Hoa Sơn	10	20	Nhận Thủy Phẩm Trà Hương (3/3)	Đem Thanh Liệt Tuyền Thủy giao cho Phương Tư Viễn	Phương Tư Viễn (987/182/185), con sông (987/154/203)	Kỹ năng cấp 10 phái Hoa Sơn
 Hoa Sơn	20	0	Ngộ Kiếm (1/5)	Đối thoại với Từ Mộ của phái Hoa Sơn để nhận nhiệm vụ môn phái Hoa Sơn cấp 20	Từ Mộ (987/188/180)	Kỹ năng cấp 20 phái Hoa Sơn
 Hoa Sơn	20	10	Ngộ Kiếm (2/5)	Đến phái Hoa Sơn chỗ thác nước phía Tây Bắc dùng thùng nước đựng Dung Tuyết Chi Thủy, đến phía Đông Tư Quá Nhai của phái Hoa Sơn thu thập Nhai Bích Chi Thạch, Thương Tùng Châm Diệp  	Từ Mộ (987/188/180), thác nước (987/170/182), Cự Thạch (987/193/196), Bách Niên Cổ Tùng (987/193/198)	Kỹ năng cấp 20 phái Hoa Sơn
 Hoa Sơn	20	20	Ngộ Kiếm (3/5)	Đi đến quảng trường trung tâm của phái Hoa Sơn tìm đệ tử Hoa Sơn Luyện Kiếm	Từ Mộ (987/188/180), thác nước (987/170/182), Cự Thạch (987/193/196), Bách Niên Cổ Tùng (987/193/198), đệ tử Hoa Sơn Luyện Kiếm (987/173/192)	Kỹ năng cấp 20 phái Hoa Sơn
 Hoa Sơn	20	30	Ngộ Kiếm (4/5)	Đi đến diễn võ trường của phái Hoa Sơn so tài với đệ tử Hoa Sơn Luyện Kiếm và giành phần thắng	Từ Mộ (987/188/180), thác nước (987/170/182), Cự Thạch (987/193/196), Bách Niên Cổ Tùng (987/193/198), đệ tử Hoa Sơn Luyện Kiếm (987/173/192), diễn võ trường (987/187/186)	Kỹ năng cấp 20 phái Hoa Sơn
 Hoa Sơn	20	40	Ngộ Kiếm (5/5)	Đem Dung Tuyết Chi Thủy, Thương Tùng Châm Diệp và Nhai Bích Chi Thạch giao cho Từ Mộ và phục mệnh với hắn	Từ Mộ (987/188/180), thác nước (987/170/182), Cự Thạch (987/193/196), Bách Niên Cổ Tùng (987/193/198), đệ tử Hoa Sơn Luyện Kiếm (987/173/192), diễn võ trường (987/187/186)	Kỹ năng cấp 20 phái Hoa Sơn
 Hoa Sơn	30	0	Băng Tàm Ngọc Lộ Cao (1/6)	Đối thoại với Lận Vân My của phái Hoa Sơn để nhận nhiệm vụ môn phái Hoa Sơn cấp 30	Lận Vân My (987/163/189)	Kỹ năng cấp 30 phái Hoa Sơn
 Hoa Sơn	30	10	Băng Tàm Ngọc Lộ Cao (2/6)	Đến Phượng Tường tìm ông chủ hiệu thuốc mua Băng Tàm Ngọc Lộ Cao	Lận Vân My (987/163/189), ông chủ hiệu thuốc Phượng Tường (1/200/199)	Kỹ năng cấp 30 phái Hoa Sơn
